scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-50TPT,207,26
MGRS-50TQK,733,8
MGRS-50TQL,908,4
MGRS-50TQM,664,9
MGRS-50TQN,576,31
MGRS-50TQP,645,0
MGRS-50TQQ,59,0
MGRS-50TQR,5,0
MGRS-50TQS,72,377
MGRS-50TQT,260,33
MGRS-50ULU,79,0
MGRS-50UMU,0,87
MGRS-50UMV,0,36
MGRS-50UNA,118,0
MGRS-50UNU,288,7
MGRS-50UNV,494,1
MGRS-50UPA,67,21
MGRS-50UPB,78,11
MGRS-50UPC,14,0
MGRS-50UPU,379,7
MGRS-50UPV,286,308
MGRS-50UQA,470,0
MGRS-50UQB,495,43
MGRS-50UQC,427,4
MGRS-50UQD,41,0
MGRS-50UQU,306,9
MGRS-50UQV,589,32
MGRS-51RTK,3,57
MGRS-51RTL,229,6
MGRS-51RTM,404,50
MGRS-51RTN,1167,20
MGRS-51RTP,1122,16
MGRS-51RTQ,1062,36
MGRS-51RUL,5,0
MGRS-51RUM,0,0
MGRS-51RUN,613,0
MGRS-51RUP,0,0
MGRS-51RUQ,575,24
MGRS-51RVN,26,0
MGRS-51RVP,55,0
MGRS-51RVQ,63,5
MGRS-51STA,1075,3
MGRS-51STB,594,3
MGRS-51STC,0,0
MGRS-51STR,1185,69
MGRS-51STS,186,626
MGRS-51STT,473,3
MGRS-51STU,14,0
MGRS-51STV,52,174
MGRS-51SUA,298,6
MGRS-51SUB,555,51
MGRS-51SUC,74,0
MGRS-51SUD,669,31
MGRS-51SUR,193,0
MGRS-51SUS,0,0
MGRS-51SVA,0,0
MGRS-51SVB,0,0
MGRS-51SVD,571,17
MGRS-51SWD,17,0
MGRS-51SXD,3,0
MGRS-51TTE,687,1
MGRS-51TTF,920,29
MGRS-51TTG,678,7
MGRS-51TUE,139,16
MGRS-51TUF,194,13
MGRS-51TUG,27,0
MGRS-51TUH,622,14
MGRS-51TUJ,605,0
MGRS-51TUK,569,2
MGRS-51TUL,21,519
MGRS-51TUM,456,254
MGRS-51TUN,6,0
MGRS-51TVE,1006,18
MGRS-51TVF,1171,10
MGRS-51TVG,989,55
MGRS-51TVH,383,40
MGRS-51TVJ,335,21
