country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
UNITED STATES,8001261,THEIS PRECISION ST.,2,0,0,"BRISTOL, CT",41.6724655,-72.9082207,Exact,USA0208
UNITED STATES,8001271,HANNA STEEL,2,0,544,"PEKIN, IL",40.5448411,-89.6603868,Exact,USA0209
UNITED STATES,8001281,NORANDAL USA INC.,1,0,0,"SALISBURY , NC",35.6402293,-80.4725566,Exact,USA0210
UNITED STATES,8001291,VULCRAFT,1,0,130,"FORT PAYNE, AL",34.5168606,-85.6523538,Exact,USA0211
UNITED STATES,8001292,VULCRAFT,1,0,150,"CHEMUNG, NY",42.0036684,-76.618771,Exact,USA0212
UNITED STATES,8001311,JSW STEEL USA,1,0,900,"BAYTOWN, TX",29.6988038,-94.9018964,Exact,USA0213
UNITED STATES,8001311,JSW STEEL USA,1,0,900,"BAYTOWN, TX",29.7355047,-94.9774274,Approximate,USA0214
UNITED STATES,8001321,ELECTRALLOY,9,0,110,"OIL CITY, PA",41.431212,-79.7179877,Exact,USA0215
UNITED STATES,8001331,GERDAU,5,0,4160,"PETERSBURG, VA",37.179661,-77.448164,Exact,USA0216
UNITED STATES,8001351,TMK IPSCO KOPPEL STEEL,3,0,1500,"BEAVER FALLS, PA",40.834354,-80.318317,Exact,USA0217
UNITED STATES,8001361,KENTUCKY ELECTR. ST.,4,0,1080,"ASHLAND, KY",38.368533,-82.764365,Exact,USA0218
UNITED STATES,8001391,MI-TECH STEEL,1,0,600,"DECATUR, AL",34.6518828,-87.0760583,Exact,USA0219
UNITED STATES,8001421,GIBRALTAR STEEL CORP,2,0,0,"BUFFALO, NY",42.7864629,-78.8421582,Exact,USA0220
UNITED STATES,8001431,INDIANA HARBOR COKE CO,1,0,1220,"IND. HARBOR EAST-EAST CHICAGO, IN",41.676251,-87.432822,Exact,USA0221
UNITED STATES,8001441,JEWELL COAL AND COKE CO,1,0,630,"VANSANT, VA",37.2344043,-82.0438661,Exact,USA0222
UNITED STATES,8001451,PRECOAT METALS,2,0,108,"ST. LOUIS, MO",38.6194923,-90.2061759,Exact,USA0223
UNITED STATES,8001452,PRECOAT METALS,1,0,235,"NORTHGATE,GRANITE CITY,IL",38.7460777,-90.1319449,Exact,USA0224
UNITED STATES,8001453,PRECOAT METALS,1,0,235,"GRANITE CITY, IL",38.7278515,-90.1435009,Exact,USA0225
UNITED STATES,8001454,PRECOAT METALS,1,0,131,"CHICAGO, IL",41.6224839,-87.1809336,Exact,USA0226
UNITED STATES,8001455,PRECOAT METALS,1,0,160,"HOUSTON, TX",32.9812686,-95.0278354,Exact,USA0227
UNITED STATES,8001456,PRECOAT METALS,1,0,220,"JACKSON, MS",32.1671365,-90.2644437,Exact,USA0228
UNITED STATES,8001457,PRECOAT METALS,1,0,200,"PORTAGE, IN",41.6224839,-87.1809336,Exact,USA0229
UNITED STATES,8001458,PRECOAT METALS,2,0,162,"McKEESPORT, PA",40.3865971,-80.6073896,Exact,USA0230
UNITED STATES,8001461,METAL COATERS OF GEORGIA,1,0,160,"MARIETTA, GA",33.9789474,-84.5403297,Exact,USA0231
UNITED STATES,8001471,STEELSCAPE INC,1,0,250,"SHREVEPORT, LA",32.5251516,-93.7501789,Approximate,USA0232
UNITED STATES,8001481,HAVERHILL NORTH COKE CO,2,0,1000,"HAVERHILL, OH",38.597953,-82.827773,Exact,USA0233
UNITED STATES,8001491,MIDDLETOWN COKE CO,1,0,500,"MIDDLETOWN, OH",39.4867941,-84.4032857,Exact,USA0234
UNITED STATES,8001521,BIG RIVER STEEL LLC,10,0,10556,"OSCEOLA, AR",35.645174,-89.941984,Exact,USA0235
UNITED STATES,8001531,MAGNETATION LLC,1,0,3000,"REYNOLDS, IN",40.762752,-86.865486,Exact,USA0236
UNITED STATES,8001541,MOUNTAIN STATE CARBON LLC,4,0,1069,"FOLLANSBEE, WV ",40.340884,-80.604312,Exact,USA0237
CANADA,8100011,ESSAR STEEL ALGOMA INC,14,2,19620,"SAULT-STE.MARIE, ONT",46.5202036,-84.3631855,Exact,CAN0001
CANADA,8100021,ASW STEEL INC.,6,0,1580,"WELLAND, ONT",42.9983606,-79.2368497,Exact,CAN0002
CANADA,8100041,ARCELORMITTAL DOFASCO,31,3,32737,"HAMILTON, ONT",43.2595108,-79.8123492,Exact,CAN0003
CANADA,8100051,GERDAU,4,0,3180,"WHITBY, ONT",43.8562925,-78.9168227,Exact,CAN0004
CANADA,8100061,GERDAU,4,0,1305,"SELKIRK, MANITOBA",50.1305029,-96.9018926,Exact,CAN0005
CANADA,8100071,ARCELORMITTAL MINES CANADA,2,0,6000,"PORT CARTIER, QC",50.022752,-66.8914193,Exact,CAN0006
CANADA,8100081,"RIO TINTO, FER ET TITANE",3,0,1300,"SOREL-TRACY, QC",46.0435988,-73.1419675,Exact,CAN0007
CANADA,8100091,ARCELORMITTAL MONTREAL,15,0,8830,"CONTRECOEUR-EAST, QC",45.8314244,-73.2640683,Exact,CAN0008
CANADA,8100093,ARCELORMITTAL MONTREAL,1,0,400,"LONGUEUIL, QC",45.567379,-73.458138,Exact,CAN0009
CANADA,8100101,U.S. STEEL CANDA INC,5,0,3614,"HAMILTON, ONT",43.268843,-79.8266947,Exact,CAN0010
CANADA,8100121,IRON ORE CO OF CANADA,2,0,10000,"LABRADOR-CITY, NL",52.956708,-66.8949204,Exact,CAN0011
CANADA,8100122,IRON ORE CO OF CANADA,1,0,6000,"SEPT-IIES, QC",50.200529,-66.3688985,Exact,CAN0012
CANADA,8100131,CANAD. ST. FOUNDRIES,2,0,150,"MONTREAL, QC",45.5016889,-73.567256,Approximate,CAN0013
CANADA,8100141,IVACO ROLLING MILLS LTD,4,0,2100,"L'ORIGNAL, ONT",45.6124862,-74.7040805,Exact,CAN0014
