uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0763,31.147839,118.007633,,3,Integrated,Dry,164974.30478855094,167738.13972116195,193898.3677736599,243.99667868221852,233.94359958734324,272.236531974079
CHN0776,32.268448,119.411291,3.0,3,Grinding,Wet,124390.01775891222,127310.14284895637,156174.92369748396,0.0,0.0,0.0
CHN0780,43.021965,129.670273,,3,Grinding,Wet,154561.10671991215,180123.9576902307,181384.4177055692,0.0,0.0,0.0
CHN0781,46.396969,125.285752,,3,Grinding,Wet,349434.1382616559,215832.91090517264,710114.4298795477,0.0,0.0,0.0
CHN0782,42.453949,123.598077,,3,Grinding,Wet,126125.6595431899,130432.43721086268,197990.5288337866,0.0,0.0,0.0
CHN0793,30.954477,113.181545,,3,Integrated,Dry,1103146.8093797823,1373351.601213994,1466808.5542591247,642.3259906012,681.2807651715871,766.1169634099697
CHN0805,26.188783,104.126264,,3,Integrated,Dry,201689.6094975484,200840.1323903486,279178.6812998007,488.42121645232226,518.3014489650818,566.7454434866135
CHN0807,26.348064,100.634499,,3,Integrated,Dry,99921.78253709956,82672.73878798635,171783.45973104326,230.62750173548395,226.24020620703553,285.72420422389797
CHN0811,23.360661,104.218378,,3,Integrated,Dry,371702.4927184877,389132.51865457563,412070.11213339807,486.4564109482938,478.064989461316,598.0766733106243
CHN0815,34.977981,117.479172,,3,Integrated,Dry,319748.8874304218,316797.7990756741,350233.4569619413,360.4852434427554,326.17587455061516,429.6735061938341
CHN0819,29.840774,120.157322,,3,Integrated,Dry,237754.7293126014,209388.46636445762,356847.1403374467,341.61514070680795,340.5131043465016,397.3903429561523
CHN0822,26.398324,115.772449,,3,Integrated,Dry,356367.4959020747,342132.57657008566,420895.4275407581,392.0454723159515,390.14311965584585,419.4429188382857
CHN0827,28.688992,118.549415,,3,Integrated,Dry,400656.68312721595,378810.3250938224,484800.0896626341,699.1162546536356,691.0654697472994,740.9658165621802
CHN0828,26.285565,116.935316,,3,Integrated,Dry,386042.92727713,375490.0995130595,473786.31313940376,365.9439644315828,339.66790397495794,430.8344978311109
CHN0829,28.152583,115.505367,,3,Integrated,Dry,326701.251704769,319502.778579115,355495.830578318,643.3810408015651,639.5958767628241,661.1074008946119
CHN0830,30.188933,106.826575,,3,Integrated,Dry,320506.85479026666,315651.470058054,344308.2040641183,620.8516290623896,681.0603375315293,797.0531235269144
CHN0831,31.867406,104.760639,,3,Integrated,Dry,309485.68072433217,312489.5129565142,318918.79592728824,383.29841759327076,393.872607436357,430.2252364191424
CHN0832,25.354875,117.373748,,3,Integrated,Dry,458812.7615508513,380471.3271749714,626360.7547778483,820.127548491087,865.2848803923844,911.0538403094702
CHN0833,24.998691,103.215129,,3,Integrated,Dry,371290.4009052615,371595.8763080766,416893.26026134606,687.14604419689,705.8920914046719,777.8440897992386
CHN0834,25.776757,117.713928,,3,Integrated,Dry,435207.4144073568,446302.2265446364,502766.0231132003,379.2029265762585,415.5332688105721,415.8206717541812
CHN0835,29.187948,119.162736,,3,Integrated,Dry,314526.72125264956,248009.86013907066,489477.2304270577,353.06873355298154,295.819823862708,483.2799522373805
CHN0836,26.53952,106.892016,,3,Integrated,Dry,443560.3103360587,436162.33714928286,545499.1577528792,896.298704667139,868.0212675711671,1084.1906787625899
CHN0839,29.186592,119.518273,,3,Integrated,Dry,264713.2356932386,266715.17009636795,272442.1246665108,283.1454220599005,282.3428565953424,300.28489389155897
CHN0841,29.993451,119.676741,,3,Integrated,Dry,248430.0335581072,251919.48686961728,305008.5087501167,294.0380811690118,334.3743973260669,355.8225620085618
CHN0843,30.608139,120.818497,,3,Integrated,Dry,105644.14544334516,99440.39015791325,119279.64924611448,187.04584691729087,189.5034092838964,197.69990076514446
CHN0851,34.523003,113.417567,,3,Integrated,Dry,244866.97910040253,256475.74351450973,287145.60740882927,380.76337902639335,383.4257931637707,406.6614070926283
CHN0855,36.701865,118.217128,,3,Integrated,Dry,238478.98646481815,251717.02280455804,258790.41899986193,188.1340752255604,192.75162697149642,204.9204462832172
CHN0856,36.564079,117.969002,,3,Integrated,Dry,319775.2976203095,281662.0225051626,423766.13540349127,868.285708753992,893.0816835743981,900.270416119648
CHN0863,43.911207,120.117266,,3,Integrated,Dry,613579.9316654111,536318.1667759494,964377.4489589286,416.1387921634918,428.4869941135599,434.5837714957913
CHN0864,30.723,119.701685,,3,Integrated,Dry,195832.36520472946,203724.44129476525,208100.67103624975,455.30205276598656,531.4427339717946,557.4712119727785
CHN0865,32.723698,108.976569,,3,Integrated,Dry,224457.82093454967,182223.00194295973,313986.3841156812,224.9953132558706,206.98119286896045,273.0326971145883
CHN0866,25.118023,105.357339,,3,Integrated,Dry,306913.99927161937,380176.08173060307,418264.30209434405,330.71265213245084,311.94157651727215,372.3703537445429
CHN0867,33.808131,112.935966,,2,Grinding,Wet,164678.61809024063,164678.61809024063,164925.27537312833,0.0,0.0,0.0
